n,temps_FF,temps_PR,temps_MIN,rapport_FF_PR
20,0.015625,0.046875,0.0,0.3333333333333333
20,0.015625,0.0,0.03125,0
20,0.0,0.125,0.015625,0.0
20,0.03125,0.078125,0.015625,0.4
20,0.0,0.0625,0.0,0.0
20,0.0,0.03125,0.0,0.0
20,0.015625,0.0625,0.015625,0.25
20,0.015625,0.0,0.015625,0
20,0.03125,0.0,0.015625,0
20,0.03125,0.015625,0.03125,2.0
20,0.015625,0.03125,0.015625,0.5
20,0.03125,0.09375,0.03125,0.3333333333333333
20,0.015625,0.09375,0.0,0.16666666666666666
20,0.015625,0.0625,0.015625,0.25
20,0.015625,0.046875,0.0,0.3333333333333333
20,0.015625,0.015625,0.0,1.0
20,0.015625,0.015625,0.015625,1.0
20,0.015625,0.0,0.015625,0
20,0.0,0.015625,0.0,0.0
20,0.015625,0.046875,0.015625,0.3333333333333333
20,0.0,0.046875,0.015625,0.0
20,0.015625,0.109375,0.0,0.14285714285714285
20,0.0,0.015625,0.015625,0.0
20,0.0,0.125,0.015625,0.0
20,0.015625,0.015625,0.015625,1.0
20,0.03125,0.09375,0.03125,0.3333333333333333
20,0.03125,0.0625,0.015625,0.5
20,0.015625,0.109375,0.015625,0.14285714285714285
20,0.03125,0.0,0.015625,0
20,0.015625,0.015625,0.015625,1.0
20,0.015625,0.0,0.03125,0
20,0.0,0.015625,0.0,0.0
20,0.015625,0.03125,0.015625,0.5
20,0.03125,0.125,0.015625,0.25
20,0.03125,0.0,0.015625,0
20,0.015625,0.03125,0.0,0.5
20,0.03125,0.03125,0.0,1.0
20,0.03125,0.078125,0.015625,0.4
20,0.03125,0.0,0.03125,0
20,0.015625,0.015625,0.0,1.0
20,0.03125,0.0625,0.03125,0.5
20,0.03125,0.046875,0.0,0.6666666666666666
20,0.015625,0.0625,0.015625,0.25
20,0.015625,0.109375,0.015625,0.14285714285714285
20,0.03125,0.09375,0.0,0.3333333333333333
20,0.03125,0.0,0.015625,0
20,0.03125,0.03125,0.03125,1.0
20,0.015625,0.109375,0.015625,0.14285714285714285
20,0.015625,0.0,0.015625,0
20,0.015625,0.0,0.03125,0
20,0.0,0.0,0.015625,0
20,0.03125,0.03125,0.03125,1.0
20,0.015625,0.09375,0.0,0.16666666666666666
20,0.015625,0.03125,0.015625,0.5
20,0.0,0.0,0.015625,0
20,0.03125,0.078125,0.015625,0.4
20,0.03125,0.015625,0.015625,2.0
20,0.015625,0.140625,0.03125,0.1111111111111111
20,0.03125,0.140625,0.0,0.2222222222222222
20,0.046875,0.0,0.046875,0
20,0.0,0.109375,0.03125,0.0
20,0.015625,0.015625,0.015625,1.0
20,0.0,0.015625,0.015625,0.0
20,0.0,0.109375,0.0,0.0
20,0.046875,0.0625,0.015625,0.75
20,0.015625,0.0,0.03125,0
20,0.03125,0.140625,0.03125,0.2222222222222222
20,0.0625,0.015625,0.03125,4.0
20,0.0,0.09375,0.0,0.0
20,0.0,0.078125,0.03125,0.0
20,0.015625,0.015625,0.0,1.0
20,0.03125,0.1875,0.0,0.16666666666666666
20,0.03125,0.015625,0.03125,2.0
20,0.015625,0.15625,0.0,0.1
20,0.015625,0.0,0.0,0
20,0.015625,0.078125,0.03125,0.2
20,0.03125,0.15625,0.015625,0.2
20,0.03125,0.125,0.03125,0.25
20,0.03125,0.0,0.015625,0
20,0.03125,0.03125,0.046875,1.0
20,0.046875,0.03125,0.03125,1.5
20,0.078125,0.078125,0.0,1.0
20,0.03125,0.078125,0.03125,0.4
20,0.03125,0.140625,0.03125,0.2222222222222222
20,0.0,0.03125,0.03125,0.0
20,0.015625,0.0,0.0,0
20,0.015625,0.046875,0.0,0.3333333333333333
20,0.03125,0.03125,0.015625,1.0
20,0.046875,0.109375,0.046875,0.42857142857142855
20,0.015625,0.140625,0.015625,0.1111111111111111
20,0.03125,0.046875,0.03125,0.6666666666666666
20,0.015625,0.0,0.03125,0
20,0.046875,0.203125,0.03125,0.23076923076923078
20,0.03125,0.015625,0.046875,2.0
20,0.03125,0.046875,0.046875,0.6666666666666666
20,0.03125,0.03125,0.0,1.0
20,0.03125,0.140625,0.015625,0.2222222222222222
20,0.03125,0.171875,0.015625,0.18181818181818182
20,0.046875,0.0,0.046875,0
20,0.0,0.015625,0.0,0.0
